0.003
0	96, 97, 34, 66, 68, 6, 41, 42, 73, 76, 78, 81, 85, 25, 28, 29
1	3, 8, 9, 10, 14, 17, 21, 23, 24, 26, 31, 36, 38, 39, 44, 49, 50, 52, 57, 59, 61, 67, 69, 70, 74, 80, 82, 83, 86, 90, 93, 98
2	64, 33, 65, 66, 96, 37, 75, 45, 77, 81, 18, 89, 91, 60, 62, 63
3	1, 5, 7, 10, 13, 22, 26, 31, 36, 38, 39, 44, 49, 50, 56, 57, 58, 69, 74, 80, 83, 84, 87, 90, 95, 98, 99
4	35, 70, 8, 40, 72, 79, 17, 20, 24, 93
5	3, 7, 10, 11, 13, 22, 31, 36, 38, 39, 44, 49, 50, 56, 57, 58, 74, 80, 84, 87, 88, 90, 92, 95, 99
6	0, 28, 29, 33, 34, 42, 43, 48, 55, 66, 68, 73, 76, 78, 81, 85, 89, 96, 97
7	3, 5, 11, 13, 19, 22, 36, 39, 44, 50, 53, 56, 60, 62, 63, 75, 86, 87, 88, 91, 92, 99
8	1, 4, 12, 17, 20, 21, 23, 24, 26, 32, 35, 40, 52, 59, 61, 67, 70, 72, 79, 83, 93
9	1, 98, 35, 67, 69, 70, 12, 14, 46, 79, 82, 51, 83, 21, 26, 61
10	1, 3, 5, 14, 21, 23, 26, 31, 36, 38, 44, 49, 50, 57, 58, 61, 69, 74, 80, 82, 83, 84, 90, 95, 98
11	5, 7, 13, 84, 54, 22, 56, 87, 88, 92, 94, 95
12	35, 67, 70, 8, 9, 14, 46, 79, 82, 51, 83, 21, 24, 61
13	3, 5, 7, 11, 19, 22, 36, 39, 50, 56, 58, 74, 84, 87, 88, 90, 92, 95, 99
14	1, 9, 10, 12, 21, 23, 26, 31, 38, 46, 49, 51, 57, 58, 61, 67, 69, 70, 74, 80, 82, 83, 98
15	71, 76, 78, 47, 25, 27, 28, 29, 30
16	64, 65, 66, 97, 41, 42, 73, 45, 81, 89
17	1, 4, 8, 20, 21, 23, 24, 26, 31, 32, 36, 38, 40, 44, 48, 52, 55, 59, 61, 70, 79, 83, 86, 93
18	64, 33, 2, 65, 96, 37, 75, 45, 77, 19, 88, 89, 91, 60, 62, 63
19	37, 7, 91, 75, 13, 77, 92, 18, 54, 87, 56, 94, 88, 60, 62
20	32, 35, 4, 67, 70, 8, 40, 72, 79, 17, 52, 93, 23, 24, 59, 61
21	1, 8, 9, 10, 12, 14, 17, 23, 24, 26, 31, 35, 36, 38, 44, 46, 49, 50, 51, 57, 61, 67, 69, 70, 74, 79, 80, 82, 83, 93, 98
22	3, 5, 90, 7, 11, 13, 84, 54, 87, 56, 58, 88, 92, 94, 95
23	1, 8, 10, 14, 17, 20, 21, 24, 26, 31, 32, 36, 38, 44, 49, 50, 52, 55, 59, 61, 67, 70, 79, 80, 82, 83, 86, 93
24	1, 4, 8, 12, 17, 20, 21, 23, 26, 32, 35, 40, 52, 59, 61, 67, 70, 72, 79, 82, 83, 93
25	0, 68, 71, 76, 78, 15, 47, 85, 27, 28, 29, 30
26	1, 3, 8, 9, 10, 14, 17, 21, 23, 24, 31, 36, 38, 39, 44, 49, 50, 52, 57, 59, 61, 67, 69, 70, 74, 80, 82, 83, 86, 90, 93, 98
27	71, 76, 78, 15, 47, 85, 25, 28, 29, 30
28	0, 32, 68, 6, 71, 40, 59, 76, 78, 15, 85, 55, 25, 27, 29, 30
29	0, 68, 6, 71, 76, 78, 15, 85, 25, 27, 28, 30
30	71, 40, 72, 76, 15, 47, 25, 27, 28, 29
31	1, 3, 5, 10, 14, 17, 21, 23, 26, 36, 38, 39, 44, 49, 50, 52, 53, 57, 58, 59, 61, 69, 70, 74, 80, 83, 86, 90, 93, 99
32	8, 17, 20, 23, 24, 28, 34, 40, 43, 48, 52, 53, 55, 59, 68, 72, 76, 85, 86, 93
33	2, 6, 18, 34, 37, 43, 45, 48, 53, 60, 62, 63, 64, 65, 66, 75, 77, 81, 86, 89, 91, 96, 99
34	0, 6, 32, 33, 43, 48, 52, 53, 55, 59, 62, 63, 65, 66, 68, 75, 76, 78, 81, 85, 86, 89, 96
35	67, 4, 70, 8, 9, 12, 46, 79, 82, 51, 20, 21, 83, 24, 61
36	1, 3, 5, 7, 10, 13, 17, 21, 23, 26, 31, 38, 39, 43, 44, 48, 49, 50, 52, 53, 55, 56, 59, 63, 74, 80, 83, 86, 87, 90, 93, 99
37	33, 2, 65, 75, 45, 77, 92, 18, 19, 88, 89, 91, 60, 62, 63
38	1, 3, 5, 10, 14, 17, 21, 23, 26, 31, 36, 39, 44, 49, 50, 52, 53, 57, 58, 59, 61, 69, 70, 74, 80, 83, 86, 90, 93, 99
39	1, 3, 5, 7, 13, 26, 31, 36, 38, 43, 44, 48, 49, 50, 52, 53, 56, 63, 74, 75, 80, 86, 87, 88, 90, 92, 99
40	32, 4, 8, 72, 76, 79, 17, 20, 24, 28, 93, 30
41	0, 64, 66, 97, 73, 42, 16, 81
42	0, 64, 65, 66, 96, 97, 6, 41, 73, 45, 16, 81, 89
43	6, 32, 33, 34, 36, 39, 44, 48, 50, 52, 53, 55, 59, 62, 63, 68, 75, 85, 86, 89, 96, 99
44	1, 3, 5, 7, 10, 17, 21, 23, 26, 31, 36, 38, 39, 43, 48, 49, 50, 52, 53, 55, 57, 59, 63, 74, 80, 83, 86, 87, 90, 93, 99
45	64, 33, 2, 65, 66, 37, 96, 42, 77, 16, 81, 18, 89, 91, 60
46	98, 35, 67, 69, 70, 9, 12, 14, 82, 51, 83, 21, 61
47	71, 15, 25, 27, 30
48	6, 17, 32, 33, 34, 36, 39, 43, 44, 52, 53, 55, 59, 63, 68, 75, 85, 86, 93, 96, 99
49	1, 3, 5, 10, 14, 21, 23, 26, 31, 36, 38, 39, 44, 50, 57, 58, 61, 69, 70, 74, 80, 82, 83, 86, 90, 95, 98, 99
50	1, 3, 5, 7, 10, 13, 21, 23, 26, 31, 36, 38, 39, 43, 44, 49, 52, 53, 56, 57, 58, 63, 74, 80, 83, 86, 87, 90, 95, 99
51	98, 35, 67, 69, 70, 9, 12, 14, 46, 82, 83, 21, 61
52	1, 8, 17, 20, 23, 24, 26, 31, 32, 34, 36, 38, 39, 43, 44, 48, 50, 53, 55, 59, 68, 76, 85, 86, 93, 99
53	7, 31, 32, 33, 34, 36, 38, 39, 43, 44, 48, 50, 52, 55, 59, 62, 63, 68, 75, 86, 96, 99
54	11, 19, 22, 88, 92, 94
55	6, 17, 23, 28, 32, 34, 36, 43, 44, 48, 52, 53, 59, 68, 76, 85, 86, 93, 99
56	3, 5, 7, 11, 13, 19, 22, 36, 39, 50, 58, 74, 84, 87, 88, 90, 92, 95, 99
57	1, 3, 5, 10, 14, 21, 26, 31, 38, 44, 49, 50, 58, 69, 74, 80, 82, 83, 84, 90, 95, 98
58	3, 5, 10, 13, 14, 22, 31, 38, 49, 50, 56, 57, 69, 74, 80, 84, 90, 95, 98
59	1, 8, 17, 20, 23, 24, 26, 28, 31, 32, 34, 36, 38, 43, 44, 48, 52, 53, 55, 68, 76, 85, 86, 93, 99
60	64, 33, 2, 65, 96, 37, 7, 75, 45, 77, 18, 19, 88, 89, 91, 92, 62, 63
61	1, 8, 9, 10, 12, 14, 17, 20, 21, 23, 24, 26, 31, 35, 38, 46, 49, 51, 67, 69, 70, 79, 80, 82, 83, 93, 98
62	2, 7, 18, 19, 33, 34, 37, 43, 53, 60, 63, 65, 75, 77, 87, 88, 89, 91, 92, 96, 99
63	2, 7, 18, 33, 34, 36, 37, 39, 43, 44, 48, 50, 53, 60, 62, 65, 75, 77, 86, 87, 88, 89, 91, 92, 96, 99
64	96, 33, 2, 65, 66, 97, 41, 42, 73, 45, 77, 16, 81, 18, 89, 91, 60
65	2, 16, 18, 33, 34, 37, 42, 45, 60, 62, 63, 64, 66, 75, 77, 81, 89, 91, 96
66	0, 33, 2, 34, 64, 65, 6, 96, 97, 41, 42, 73, 45, 16, 81, 89, 91
67	1, 8, 9, 12, 14, 20, 21, 23, 24, 26, 35, 46, 51, 61, 69, 70, 79, 82, 83
68	0, 32, 34, 6, 43, 76, 78, 48, 52, 53, 85, 55, 86, 25, 93, 59, 28, 29
69	1, 3, 9, 10, 14, 21, 26, 31, 38, 46, 49, 51, 57, 58, 61, 67, 70, 74, 80, 82, 83, 90, 98
70	1, 4, 8, 9, 12, 14, 17, 20, 21, 23, 24, 26, 31, 35, 38, 46, 49, 51, 61, 67, 69, 79, 80, 82, 83, 93
71	76, 78, 15, 47, 25, 27, 28, 29, 30
72	32, 4, 8, 40, 79, 20, 24, 93, 30
73	0, 64, 66, 97, 6, 41, 42, 78, 16, 81
74	1, 3, 5, 10, 13, 14, 21, 26, 31, 36, 38, 39, 44, 49, 50, 56, 57, 58, 69, 80, 83, 84, 90, 95, 98, 99
75	2, 7, 18, 19, 33, 34, 37, 39, 43, 48, 53, 60, 62, 63, 65, 77, 86, 87, 88, 89, 91, 92, 96, 99
76	0, 32, 34, 68, 6, 71, 40, 59, 78, 15, 52, 85, 55, 25, 27, 28, 29, 30
77	64, 33, 2, 65, 37, 75, 45, 18, 19, 88, 89, 91, 60, 62, 63
78	0, 97, 34, 68, 6, 71, 73, 76, 15, 85, 25, 27, 28, 29
79	35, 4, 67, 70, 8, 9, 40, 72, 12, 17, 82, 20, 21, 93, 23, 24, 61
80	1, 3, 5, 10, 14, 21, 23, 26, 31, 36, 38, 39, 44, 49, 50, 57, 58, 61, 69, 70, 74, 82, 83, 90, 98
81	0, 33, 2, 34, 64, 65, 6, 66, 96, 41, 42, 73, 97, 45, 16, 89, 91
82	1, 9, 10, 12, 14, 21, 23, 24, 26, 35, 46, 49, 51, 57, 61, 67, 69, 70, 79, 80, 83, 98
83	1, 3, 8, 9, 10, 12, 14, 17, 21, 23, 24, 26, 31, 35, 36, 38, 44, 46, 49, 50, 51, 57, 61, 67, 69, 70, 74, 80, 82, 90, 93, 98
84	3, 5, 90, 10, 11, 74, 13, 22, 87, 56, 57, 58, 95
85	0, 32, 34, 68, 6, 59, 43, 76, 78, 48, 52, 55, 25, 27, 28, 29
86	1, 7, 17, 23, 26, 31, 32, 33, 34, 36, 38, 39, 43, 44, 48, 49, 50, 52, 53, 55, 59, 63, 68, 75, 93, 99
87	3, 5, 7, 11, 13, 19, 22, 36, 39, 44, 50, 56, 62, 63, 75, 84, 88, 90, 92, 95, 99
88	5, 7, 11, 13, 18, 19, 22, 37, 39, 54, 56, 60, 62, 63, 75, 77, 87, 91, 92, 99
89	2, 6, 16, 18, 33, 34, 37, 42, 43, 45, 60, 62, 63, 64, 65, 66, 75, 77, 81, 91, 96
90	1, 3, 5, 10, 13, 22, 26, 31, 36, 38, 39, 44, 49, 50, 56, 57, 58, 69, 74, 80, 83, 84, 87, 95, 98, 99
91	2, 7, 18, 19, 33, 37, 45, 60, 62, 63, 64, 65, 66, 75, 77, 81, 88, 89, 96
92	99, 5, 37, 7, 39, 11, 75, 13, 19, 94, 22, 54, 56, 87, 88, 60, 62, 63
93	1, 4, 8, 17, 20, 21, 23, 24, 26, 31, 32, 36, 38, 40, 44, 48, 52, 55, 59, 61, 68, 70, 72, 79, 83, 86
94	11, 19, 54, 22, 92
95	3, 5, 90, 10, 11, 74, 13, 49, 50, 84, 22, 87, 56, 57, 58
96	0, 2, 6, 18, 33, 34, 42, 43, 45, 48, 53, 60, 62, 63, 64, 65, 66, 75, 81, 89, 91, 97
