0.003
0	97, 34, 68, 6, 73, 76, 78, 81, 85, 28, 29
1	10, 14, 17, 21, 23, 24, 26, 31, 36, 38, 44, 49, 50, 57, 61, 67, 69, 70, 74, 80, 82, 83, 93, 98
2	64, 65, 33, 96, 66, 37, 75, 77, 45, 81, 18, 89, 91, 60, 62, 63
3	5, 10, 13, 22, 31, 36, 38, 39, 44, 49, 50, 56, 57, 58, 74, 80, 84, 90, 95, 99
4	35, 8, 72, 40, 79, 20, 24
5	3, 7, 10, 13, 22, 31, 36, 38, 39, 44, 49, 50, 56, 57, 58, 74, 80, 84, 87, 90, 95, 99
6	0, 96, 34, 66, 68, 97, 73, 78, 48, 81, 85
7	5, 39, 75, 13, 50, 19, 22, 87, 56, 88, 92, 62, 63
8	32, 35, 4, 67, 70, 40, 72, 79, 17, 20, 23, 24, 93
9	98, 67, 35, 69, 70, 12, 14, 46, 82, 51, 83, 21, 61
10	1, 3, 5, 14, 21, 26, 31, 36, 38, 44, 49, 50, 57, 58, 69, 74, 80, 82, 83, 90, 98
11	13, 84, 54, 22, 56, 87, 92, 94, 95
12	67, 35, 70, 9, 46, 79, 82, 51, 61
13	3, 5, 7, 39, 11, 50, 84, 22, 87, 56, 90, 88, 92, 95
14	1, 98, 69, 9, 10, 74, 46, 80, 49, 82, 51, 83, 21, 57, 26, 61
15	71, 47, 25, 27, 28, 29, 30
16	64, 66, 41, 42, 73, 45, 81
17	32, 1, 70, 8, 59, 83, 20, 21, 61, 23, 24, 52, 26, 55, 86, 93
18	65, 33, 2, 37, 75, 77, 45, 89, 91, 60, 62, 63
19	37, 7, 77, 60, 54, 87, 88, 92
20	32, 35, 4, 70, 8, 40, 72, 79, 17, 23, 24, 93
21	1, 9, 10, 14, 17, 23, 24, 26, 31, 38, 44, 46, 49, 51, 57, 61, 67, 69, 70, 80, 82, 83, 98
22	3, 5, 7, 11, 13, 84, 87, 56, 90, 88, 92, 95
23	1, 67, 70, 8, 17, 82, 83, 20, 21, 61, 52, 24, 26, 59, 93
24	1, 4, 8, 17, 20, 21, 23, 26, 32, 35, 40, 59, 61, 67, 70, 72, 79, 83, 93
25	71, 76, 78, 15, 85, 27, 28, 29, 30
26	1, 10, 14, 17, 21, 23, 24, 31, 36, 38, 44, 49, 50, 57, 61, 67, 69, 70, 74, 80, 82, 83, 93, 98
27	71, 76, 78, 47, 15, 25, 28, 29, 30
28	0, 32, 68, 71, 76, 78, 15, 85, 55, 25, 27, 29
29	0, 68, 71, 76, 78, 15, 85, 25, 27, 28
30	71, 47, 15, 25, 27
31	1, 3, 5, 10, 21, 26, 36, 38, 39, 44, 49, 50, 57, 74, 80, 83, 86, 90, 99
32	68, 8, 40, 76, 48, 17, 52, 85, 20, 55, 24, 59, 28, 93
33	64, 65, 2, 96, 66, 34, 75, 43, 77, 48, 81, 18, 53, 89, 91, 60, 62, 63
34	0, 33, 96, 68, 6, 43, 48, 52, 53, 86, 55, 85, 89, 59, 63
35	67, 4, 70, 8, 9, 12, 46, 79, 82, 51, 20, 24, 61
36	1, 3, 5, 10, 26, 31, 38, 39, 43, 44, 49, 50, 52, 53, 74, 80, 83, 86, 90, 99
37	65, 2, 75, 77, 18, 19, 91, 60, 62
38	1, 3, 5, 10, 21, 26, 31, 36, 39, 44, 49, 50, 57, 74, 80, 83, 86, 90, 99
39	3, 5, 7, 13, 31, 36, 38, 43, 44, 49, 50, 53, 56, 63, 74, 86, 87, 90, 99
40	32, 4, 8, 72, 79, 20, 24
41	64, 97, 66, 73, 42, 16, 81
42	64, 96, 66, 97, 41, 73, 16, 81, 89
43	96, 33, 34, 99, 36, 68, 39, 75, 48, 52, 53, 86, 55, 59, 63
44	1, 3, 5, 10, 21, 26, 31, 36, 38, 39, 49, 50, 52, 53, 59, 74, 80, 83, 86, 90, 99
45	64, 65, 2, 66, 77, 16, 18, 89, 91, 60
46	98, 35, 67, 69, 9, 12, 14, 82, 51, 21, 61
47	27, 71, 30, 15
48	32, 33, 34, 99, 68, 6, 43, 52, 53, 86, 55, 85, 59, 63
49	1, 3, 5, 10, 14, 21, 26, 31, 36, 38, 39, 44, 50, 57, 58, 69, 74, 80, 83, 90, 98
50	1, 3, 5, 7, 10, 13, 26, 31, 36, 38, 39, 44, 49, 53, 56, 74, 80, 86, 87, 90, 99
51	98, 35, 67, 69, 9, 12, 14, 46, 82, 21, 61
52	32, 34, 36, 68, 43, 44, 48, 17, 23, 53, 86, 55, 59, 93
53	33, 34, 99, 36, 39, 43, 44, 75, 48, 50, 52, 86, 55, 59, 63
54	19, 11, 92, 94
55	32, 34, 68, 43, 76, 48, 17, 52, 53, 86, 85, 59, 28, 93
56	3, 5, 7, 39, 11, 13, 50, 84, 22, 87, 88, 90, 92, 95
57	1, 98, 3, 58, 5, 38, 69, 26, 10, 74, 14, 80, 49, 83, 21, 90, 31
58	98, 3, 5, 69, 10, 74, 80, 49, 84, 57, 90, 95
59	32, 34, 68, 43, 44, 48, 17, 52, 53, 86, 55, 85, 23, 93, 24
60	96, 33, 2, 65, 37, 75, 45, 77, 18, 19, 88, 89, 91, 62, 63
61	1, 9, 12, 14, 17, 21, 23, 24, 26, 35, 46, 51, 67, 69, 70, 79, 80, 82, 83, 98
62	96, 33, 2, 65, 37, 7, 75, 77, 92, 18, 88, 89, 91, 60, 63
63	2, 7, 18, 33, 34, 39, 43, 48, 53, 60, 62, 65, 75, 86, 87, 88, 89, 91, 96, 99
64	96, 33, 2, 66, 65, 41, 42, 45, 16, 81, 89, 91
65	64, 33, 2, 96, 66, 37, 75, 45, 77, 81, 18, 89, 91, 60, 62, 63
66	64, 33, 2, 65, 96, 97, 6, 41, 42, 73, 45, 16, 81, 89
67	1, 35, 70, 8, 9, 12, 46, 79, 82, 51, 83, 21, 23, 24, 26, 61
68	0, 32, 34, 6, 43, 76, 78, 48, 52, 85, 55, 59, 28, 29
69	1, 98, 58, 9, 10, 74, 14, 46, 80, 49, 82, 51, 83, 21, 57, 26, 61
70	1, 35, 67, 8, 9, 12, 79, 17, 82, 83, 20, 21, 93, 23, 24, 26, 61
71	76, 78, 15, 47, 25, 27, 28, 29, 30
72	4, 8, 40, 79, 20, 24
73	0, 97, 66, 6, 41, 42, 16, 81
74	1, 3, 5, 10, 14, 26, 31, 36, 38, 39, 44, 49, 50, 57, 58, 69, 80, 83, 84, 90, 95, 98
75	96, 33, 2, 65, 99, 37, 7, 43, 77, 18, 53, 88, 89, 91, 60, 62, 63
76	0, 32, 68, 71, 78, 85, 55, 25, 27, 28, 29
77	33, 2, 65, 37, 75, 45, 18, 19, 89, 91, 60, 62
78	0, 68, 6, 71, 76, 85, 25, 27, 28, 29
79	35, 4, 67, 70, 8, 40, 72, 12, 20, 24, 61
80	1, 3, 5, 10, 14, 21, 26, 31, 36, 38, 44, 49, 50, 57, 58, 61, 69, 74, 82, 83, 90, 98
81	64, 33, 2, 65, 66, 96, 97, 0, 6, 41, 42, 73, 16, 89
82	1, 98, 35, 67, 69, 70, 9, 10, 12, 14, 46, 80, 51, 83, 21, 23, 26, 61
83	1, 9, 10, 14, 17, 21, 23, 24, 26, 31, 36, 38, 44, 49, 57, 61, 67, 69, 70, 74, 80, 82, 98
84	3, 5, 90, 74, 11, 13, 22, 56, 58, 95
85	0, 32, 34, 68, 6, 76, 78, 48, 55, 25, 59, 28, 29
86	34, 99, 36, 38, 39, 43, 44, 48, 17, 50, 52, 53, 93, 55, 59, 63, 31
87	5, 7, 39, 11, 13, 50, 19, 22, 56, 88, 92, 95, 63
88	7, 75, 13, 92, 19, 22, 87, 56, 60, 62, 63
89	64, 33, 2, 65, 66, 96, 34, 42, 75, 45, 77, 81, 18, 91, 60, 62, 63
90	3, 5, 10, 13, 22, 31, 36, 38, 39, 44, 49, 50, 56, 57, 58, 74, 80, 84, 95
91	64, 33, 2, 65, 96, 37, 75, 45, 77, 18, 89, 60, 62, 63
92	7, 11, 13, 19, 22, 54, 56, 87, 88, 62
93	32, 1, 70, 8, 17, 20, 52, 55, 23, 24, 86, 26, 59
94	11, 54
95	3, 5, 90, 74, 11, 13, 84, 22, 87, 56, 58
96	64, 33, 2, 65, 66, 34, 6, 42, 75, 43, 81, 89, 91, 60, 62, 63
97	0, 66, 6, 73, 41, 42, 81
98	1, 58, 69, 9, 10, 74, 14, 46, 80, 49, 82, 51, 83, 21, 57, 26, 61
99	3, 36, 5, 38, 39, 43, 44, 75, 48, 50, 53, 86, 63, 31
